ID,ell_light_uk,ell_moist_uk,ell_pH_uk,ell_N,li_form_B,ros,reprod_B,strategy,self_st,Breeding_sys,flw_muell,poll_vect_B,MycoFlor
Campanula sibirica,,,,,H,h,s,csr,SI,X,Hb,in,OM
Campanula thyrsoides,,,,,H,h,s,csr,SI,X,Hb,in,OM
Campanula trachelium,4.0,5.0,7.0,6.0,H,h,sv,cs,SI,X,Hb,in,FM
Cannabis sativa,7.0,6.0,6.0,7.0,T,r,s,cr,,X,W,wi,OM
Capsella bursa-pastoris,7.0,5.0,6.0,6.0,H,h,s,r,SC,AO,AB,se,FM
Caragana arborescens,,,,,N,r,s,c,C+,X,H,in,OM
Cardamine amara,5.0,9.0,6.0,4.0,H,r,sv,csr,I+,XF,AB,se,NM
Cardamine flexuosa,5.0,7.0,4.0,5.0,H,h,s,csr,SC,AO,AB,se,FM
Cardamine hirsuta,6.0,5.0,5.0,6.0,H,h,sv,csr,SC,AF,AB,se,FM
Cardamine impatiens,4.0,5.0,7.0,7.0,H,h,sv,csr,,,AB,in,NM
Cardamine pratensis,4.0,6.0,5.0,4.0,H,h,vvs,csr,SI,X,B,se,NM
Cardamine trifolia,3.0,6.0,7.0,7.0,G,r,sv,csr,,,AB,se,NM
Cardaminopsis arenosa,,,,,H,h,s,csr,SI,X,AB,in,OM
Cardaria draba,,,,,H,h,sv,csr,SC,,AB,se,NM
Carduus acanthoides,,,,,H,h,s,cr,SC,AFXF,B`,se,OM
Carduus nutans,7.0,4.0,8.0,5.0,H,h,s,cr,SC,AFXF,B`,se,OM
Carex acuta,7.0,9.0,6.0,4.0,G,h,sv,cs,SI,X,W,wi,NM
Carex acutiformis,6.0,9.0,7.0,5.0,G,g,sv,cs,SC,XF,W,wi,NM
Carex alba,,,,,G,g,sv,csr,SC,XF,W,wi,NM
Carex aquatilis,8.0,10.0,4.0,3.0,G,h,sv,cs,SI,X,W,wi,NM
Carex arenaria,8.0,3.0,5.0,2.0,G,h,vvs,cs,SC,AFXF,W,wi,FM
Carex atherodes,,,,,G,h,sv,cs,SC,AFXF,W,wi,FM
Carex atrata,7.0,5.0,4.0,2.0,H,g,sv,cs,SC,XF,W,wi,NM
Carex bigelowii,7.0,5.0,1.0,2.0,G,h,sv,csr,SC,XF,W,wi,NM
Carex brizoides,,,,,G,h,sv,csr,SC,AFXF,W,wi,NM
Carex brunnescens,,,,,H,h,sv,cs,SC,AFXF,W,wi,FM
Carex buxbaumii,7.0,8.0,7.0,2.0,G,h,sv,cs,SC,X,W,wi,FM
Carex canescens,,,,,H,g,sv,csr,SC,XF,W,wi,NM
Carex capillaris,8.0,6.0,7.0,2.0,H,h,sv,cs,SC,AFXF,W,wi,NM
Carex capitata,,,,,H,h,sv,csr,SC,AO,W,wi,NM
Carex caryophyllea,7.0,4.0,6.0,2.0,G,g,sv,csr,SC,XF,W,wi,NM
Carex cespitosa,,,,,H,h,sv,cs,SI,X,W,wi,NM
Carex chordorrhiza,9.0,9.0,3.0,2.0,G,h,sv,s,SC,XF,W,wi,NM
Carex davalliana,,,,,H,h,sv,csr,SC,X,W,wi,OM
Carex diandra,8.0,9.0,5.0,3.0,G,h,sv,csr,SC,XF,W,wi,NM
Carex digitata,3.0,5.0,6.0,4.0,H,g,ssv,csr,SC,AFXF,W,wi,NM
Carex dioica,8.0,9.0,5.0,2.0,G,g,sv,cs,SC,X,W,wi,NM
Carex distans,8.0,6.0,7.0,5.0,H,h,sv,cs,SC,XF,W,wi,NM
Carex disticha,7.0,8.0,6.0,4.0,G,r,sv,csr,SC,XF,W,wi,FM
Carex divulsa,,,,,H,g,sv,cs,SC,XF,W,wi,OM
Carex echinata,7.0,8.0,3.0,2.0,H,g,sv,csr,SC,XF,W,wi,NM
Carex elongata,4.0,8.0,6.0,6.0,H,g,sv,cs,SC,XF,W,wi,NM
Carex ericetorum,,,,,G,g,sv,csr,SC,AF,W,wi,NM
Carex firma,,,,,H,g,sv,s,SC,AFXF,W,wi,NM
Carex flacca,7.0,5.0,6.0,2.0,G,h,vvs,csr,SC,AFXF,W,wi,FM
Carex flava,7.0,9.0,7.0,2.0,H,h,sv,csr,SC,AF,W,wi,FM
Carex fuliginosa,,,,,H,h,sv,csr,SC,AFXF,W,wi,NM
Carex halleriana,,,,,H,r,sv,csr,SC,AFXF,W,wi,NM
Carex heleonastes,,,,,H,h,sv,s,SC,AFXF,W,wi,NM
Carex hirta,7.0,6.0,6.0,5.0,G,h,sv,c,SC,XF,W,wi,FM
Carex hostiana,8.0,9.0,6.0,2.0,H,h,sv,cs,SC,AFXF,W,wi,NM
Carex humilis,7.0,2.0,8.0,2.0,H,g,ssv,csr,SC,AFXF,W,wi,NM
Carex lasiocarpa,8.0,10.0,4.0,2.0,A,h,sv,cs,SC,XF,W,wi,FM
Carex lepidocarpa,,,,,H,h,sv,cs,SC,AF,W,wi,NM
Carex limosa,8.0,10.0,2.0,1.0,H,h,sv,s,SC,XF,W,wi,NM
Carex loliacea,,,,,G,h,sv,,SC,AFXF,W,wi,NM
Carex melanostachya,,,,,G,r,sv,cs,SC,AFXF,W,wi,NM
Carex montana,5.0,4.0,4.0,1.0,H,h,ssv,csr,SC,XF,W,wi,NM
Carex muricata,5.0,4.0,6.0,4.0,H,g,ssv,c,SC,XF,W,wi,FM
Carex nigra,7.0,8.0,3.0,2.0,G,h,sv,s,SI,X,W,wi,FM
Carex obtusata,,,,,H,h,sv,csr,SC,AFXF,W,wi,NM
Carex otrubae,6.0,8.0,7.0,6.0,H,h,sv,cs,SC,AFXF,W,wi,NM
Carex ovalis,,,,,H,h,sv,csr,SC,XF,W,wi,OM
Carex pallescens,6.0,6.0,4.0,3.0,H,h,sv,csr,SC,AFXF,W,wi,FM
Carex panicea,8.0,8.0,4.0,2.0,G,h,sv,csr,SC,AFXF,W,wi,FM
Carex paniculata,6.0,9.0,6.0,4.0,H,h,sv,cs,SC,XF,W,wi,NM
Carex pendula,5.0,8.0,6.0,6.0,H,h,sv,cs,SC,XF,W,wi,NM
Carex pilosa,,,,,H,h,sv,cs,SC,AFXF,W,wi,NM
Carex pilulifera,5.0,5.0,3.0,2.0,H,h,sv,csr,SC,XF,W,wi,NM
Carex praecox,,,,,G,h,sv,csr,SC,XF,W,wi,NM
Carex pseudocyperus,7.0,9.0,6.0,5.0,A,h,sv,cs,SC,XF,W,wi,NM
Carex pulicaris,8.0,7.0,4.0,2.0,H,h,sv,csr,SC,XF,W,wi,NM
Carex remota,3.0,8.0,6.0,6.0,H,h,sv,cs,SC,XF,W,wi,FM
Carex riparia,6.0,9.0,7.0,4.0,A,g,sv,cs,SC,XF,W,wi,NM
Carex rostrata,8.0,10.0,3.0,2.0,H,h,sv,cs,SC,XF,W,wi,NM
Carex rupestris,8.0,4.0,6.0,2.0,H,h,sv,csr,SC,AFXF,W,wi,NM
Carex sempervirens,,,,,H,h,sv,cs,SC,AFXF,W,wi,FM
Carex spicata,7.0,4.0,6.0,4.0,H,g,ssv,cs,SC,AFXF,W,wi,NM
Carex supina,,,,,G,h,sv,csr,SC,AFXF,W,wi,NM
Carex sylvatica,2.0,5.0,6.0,5.0,H,h,sv,csr,SC,XF,W,wi,NM
Carex tomentosa,,,,,G,h,sv,csr,SC,AFXF,W,wi,NM
Carex umbrosa,,,,,H,h,sv,cs,SC,XF,W,wi,NM
Carex vaginata,7.0,6.0,4.0,2.0,G,h,sv,s,SC,XF,W,wi,NM
Carex vesicaria,7.0,10.0,5.0,4.0,A,h,sv,cs,SC,XF,W,wi,FM
Carex vulpina,7.0,8.0,6.0,5.0,H,h,sv,csr,SC,XF,W,wi,NM
Carex vulpinoidea,,,,,H,h,sv,cs,SC,AFXF,W,wi,OM
Carlina vulgaris,7.0,4.0,7.0,2.0,H,h,s,csr,,,B`,se,OM
Carpinus betulus,-4.0,5.0,5.0,5.0,M,r,ssv,c,,,W,wi,OM
Carthamus tinctorius,,,,,T,h,s,cr,SC,AF,B`,se,OM
Carum carvi,8.0,5.0,6.0,6.0,H,h,s,c,SC,XF,A,in,OM
Castanea sativa,-5.0,5.0,4.0,4.0,M,r,s,c,SC,X,W,wi,OM
Catabrosa aquatica,6.0,9.0,7.0,7.0,H,h,sv,cs,,,W,wi,NM
Catapodium rigidum,8.0,2.0,7.0,1.0,H,h,s,r,SC,AF,W,wi,OM
Celosia argentea,,,,,T,r,s,r,SC,AFXF,W,wi,NM
Centaurea cyanus,7.0,5.0,4.0,5.0,H,h,s,cr,,,B`,in,OM
Centaurea diffusa,,,,,T,h,s,r,SC,XF,B`,in,OM
Centaurea jacea,,,,,H,h,s,c,SI,X,B`,in,OM
Centaurea nigra,7.0,5.0,3.0,4.0,H,h,ssv,c,I+,X,B`,in,OM
Centaurea phrygia,,,,,H,h,ssv,c,,,B`,in,FM
Centaurea pseudophrygia,,,,,H,h,ssv,c,,,B`,in,OM
Centaurea scabiosa,7.0,3.0,8.0,3.0,H,h,ssv,c,SI,X,B`,in,OM
Centaurea solstitialis,8.0,3.0,7.0,6.0,H,h,s,cr,I+,X,B`,in,OM
Centaurea stoebe,,,,,H,h,s,csr,SC,XF,B`,in,OM
Centaurium erythraea,8.0,5.0,6.0,3.0,H,h,s,sr,SC,AF,B,se,OM
Centaurium littorale,8.0,7.0,8.0,3.0,H,h,s,s,SC,AFXF,B,se,OM
Centaurium pulchellum,8.0,7.0,8.0,3.0,T,r,s,sr,SC,AF,B,se,OM
Centranthus ruber,7.0,3.0,8.0,5.0,H,r,s,cs,SC,XF,F,in,NM
Cephalanthera damasonium,3.0,4.0,7.0,4.0,G,r,sv,csr,SC,AF,Hb,se,OM
Cephalanthera longifolia,5.0,4.0,6.0,4.0,G,r,sv,csr,SC,AFXF,Hb,in,OM
Cephalanthera rubra,4.0,3.0,8.0,4.0,G,r,sv,csr,SC,AFXF,Hb,se,OM
Cerastium alpinum,9.0,5.0,6.0,2.0,C,r,sv,csr,SC,AFXF,AB,se,NM
Cerastium arvense,8.0,4.0,5.0,3.0,C,r,sv,cr,SC,X,AB,se,FM
Cerastium cerastoides,8.0,8.0,5.0,4.0,C,r,sv,s,SC,AFXF,AB,se,NM
Cerastium fontanum,6.0,5.0,5.0,4.0,C,r,sv,csr,SC,AO,AB,se,FM
Cerastium glomeratum,7.0,5.0,5.0,5.0,H,h,s,r,SC,AO,AB,se,FM
Cerastium glutinosum,,,,,H,h,s,sr,SC,AO,AB,se,FM
Cerastium holosteoides,,,,,C,r,sv,cr,SC,AFXF,AB,se,NM
Cerastium semidecandrum,8.0,3.0,6.0,3.0,H,h,s,r,SC,AO,AB,se,NM
Cerastium uniflorum,,,,,C,r,sv,s,SC,XF,AB,se,FM
Ceratocephala testiculata,,,,,T,g,s,r,SC,AO,AB,se,OM
Ceratophyllum demersum,6.0,12.0,7.0,7.0,A,r,vvs,,SC,AFXF,Hy,wa,NM
Cerinthe glabra,,,,,H,h,sv,c,,,H,se,OM
Ceterach officinarum,,,,,H,g,s,s,,,,,NM
Chaenomeles speciosa,,,,,N,r,ssv,c,SI,X,AB,in,OM
Chaerophyllum aureum,6.0,5.0,7.0,8.0,H,h,sv,c,SC,XF,A,in,OM
Chaerophyllum bulbosum,,,,,G,h,s,c,SC,XF,A,in,OM
Chamaesyce prostrata,,,,,T,r,s,r,SC,XF,A,in,OM
Chamaesyce serpens,,,,,T,r,s,r,SC,XF,A,in,OM
Chelidonium majus,6.0,5.0,7.0,7.0,H,h,s,cr,SC,X,Po,se,NM
Chenopodium album,7.0,4.0,6.0,7.0,T,r,s,cr,SC,AFXF,Wb,wi,FM
Chenopodium ambrosioides,,,,,C,r,s,cr,SC,AFXF,Wb,wi,FM
Chenopodium bonus-henricus,8.0,5.0,7.0,8.0,H,h,s,cr,SC,XF,Wb,wi,NM
Chenopodium botrys,,,,,T,r,s,r,SC,XF,Wb,wi,OM
Chenopodium foliosum,,,,,T,r,s,r,SC,XF,Wb,wi,NM
Chenopodium glaucum,8.0,6.0,7.0,9.0,T,r,s,sr,SC,AFXF,Wb,wi,NM
Chenopodium hybridum,7.0,4.0,7.0,7.0,T,r,s,cr,SC,XF,Wb,wi,NM
Chenopodium murale,8.0,4.0,6.0,7.0,T,r,s,cr,SC,X,Wb,wi,NM
Chenopodium pratericola,,,,,T,r,s,cr,SC,XF,Wb,wi,NM
Chenopodium rubrum,7.0,6.0,7.0,8.0,T,r,s,cr,SC,AFXF,Wb,wi,NM
Chimaphila umbellata,,,,,S,r,sv,csr,SC,AFXF,B,se,OM
Chondrilla juncea,,,,,H,h,ssv,cs,,,B`,,OM
Chrysosplenium alternifolium,3.0,8.0,6.0,5.0,H,h,sv,csr,SC,AFXF,A,se,FM
Chrysosplenium oppositifolium,5.0,9.0,5.0,5.0,H,r,sv,csr,SC,AFXF,A,se,NM
Cicendia filiformis,9.0,8.0,3.0,2.0,T,r,s,sr,,,B,se,OM
Cicerbita alpina,5.0,6.0,6.0,6.0,H,h,sv,c,,,B`,in,FM
Cichorium endivia,,,,,H,h,s,,C+,AFXF,B`,se,OM
Cichorium intybus,8.0,4.0,7.0,5.0,H,h,s,c,SC,X,B`,in,FM
Cicuta virosa,6.0,10.0,5.0,5.0,H,h,sv,cs,SC,AFXF,A,in,FM
Circaea alpina,4.0,7.0,5.0,5.0,G,r,sv,csr,,,Ds,se,OM
Circaea lutetiana,4.0,6.0,7.0,6.0,G,r,sv,cs,SC,AFXF,Ds,se,OM
Cirsium acaule,9.0,4.0,8.0,3.0,H,h,sv,csr,SC,AFXF,B`,se,OM
Cirsium arvense,8.0,5.0,6.0,6.0,G,r,sv,c,SC,X,B`,in,OM
Cirsium canum,,,,,H,h,sv,csr,SC,AFXF,B`,in,OM
Cirsium eriophorum,8.0,4.0,8.0,5.0,H,h,s,c,SC,AFXF,B`,in,OM
Cirsium helenioides,,,,,H,h,sv,c,SC,AFXF,B`,se,OM
Cirsium oleraceum,6.0,7.0,7.0,5.0,H,h,sv,c,SC,AFXF,B`,in,FM
Cirsium palustre,7.0,8.0,4.0,3.0,H,h,s,c,SC,AFXF,B`,in,FM
Cirsium tuberosum,7.0,6.0,8.0,3.0,H,h,sv,c,SC,AFXF,B`,in,OM
Cirsium vulgare,7.0,5.0,6.0,6.0,H,h,s,cr,SC,AFXF,B`,in,FM
Cladium mariscus,8.0,10.0,8.0,3.0,A,h,vvs,cs,SC,AFXF,W,wi,FM
Claytonia perfoliata,6.0,5.0,5.0,5.0,T,g,s,r,SC,AO,A,se,NM
Claytonia sibirica,5.0,7.0,6.0,6.0,T,g,s,r,I+,X,AB,in,OM
Clematis recta,,,,,H,r,sv,c,,,Po,se,OM
Clematis vitalba,6.0,4.0,7.0,5.0,N,r,s,c,,AF,PoDe,se,OM
Clinopodium vulgare,6.0,4.0,7.0,3.0,H,r,sv,cs,SC,XF,H,in,FM
Cochlearia anglica,8.0,8.0,7.0,6.0,H,h,s,r,,,AB,se,FM
Cochlearia danica,9.0,6.0,7.0,5.0,T,h,s,sr,SC,AFXF,AB,se,OM
Cochlearia officinalis,8.0,6.0,7.0,5.0,H,h,s,sr,,,AB,se,FM
Coeloglossum viride,7.0,4.0,4.0,2.0,G,h,s,csr,SC,AFXF,B,in,OM
Coincya monensis,9.0,4.0,6.0,3.0,H,h,s,cr,,,AB,in,NM
Colchicum autumnale,6.0,6.0,6.0,4.0,G,g,sv,csr,SI,X,B,se,OM
Conium maculatum,8.0,5.0,7.0,8.0,H,h,s,cr,SC,XF,A,in,OM
Conopodium majus,6.0,5.0,5.0,5.0,G,h,s,c,SC,XF,A,in,OM
Consolida ajacis,8.0,4.0,7.0,6.0,T,h,s,r,SC,XF,Hh,se,OM
Consolida regalis,,,,,H,h,s,r,SC,X,Hh,in,OM
Convallaria majalis,4.0,4.0,5.0,4.0,G,r,sv,cs,SC,X,PoAB,wi,FM
Convolvulus arvensis,7.0,4.0,7.0,6.0,G,r,vvs,cr,I+,X,B,se,OM
Conyza bonariensis,8.0,4.0,7.0,6.0,T,h,s,cr,SC,AF,B`,se,NM
Conyza canadensis,7.0,4.0,6.0,5.0,H,h,s,cr,SC,AF,B`,se,OM
Corallorrhiza trifida,,,,,G,r,sv,csr,SC,AF,B,se,OM
Coriandrum sativum,,,,,T,r,s,cr,SC,AFXF,A,se,OM
Cornus alba,,,,,M,r,sv,c,SI,X,A,in,OM
Cornus mas,6.0,4.0,8.0,4.0,M,r,s,c,,,A,ge,OM
Cornus sanguinea,6.0,5.0,7.0,5.0,N,r,sv,c,,,A,ge,FM
Cornus sericea,6.0,6.0,7.0,5.0,N,r,sv,c,SI,X,A,in,OM
Cornus suecica,6.0,6.0,1.0,2.0,H,r,sv,cs,,,A,se,OM
Coronopus didymus,,,,,T,g,s,r,SC,AO,AB,se,OM
Cortusa matthioli,,,,,H,g,sv,c,SI,X,AB,in,OM
Corydalis solida,3.0,5.0,7.0,7.0,G,r,s,csr,SI,X,H,in,FM
Corylus avellana,4.0,5.0,6.0,5.0,N,r,ssv,c,SI,X,W,wi,OM
Corynephorus canescens,8.0,1.0,3.0,1.0,H,h,s,cs,SC,AFXF,W,wi,FM
Cosmos bipinnatus,,,,,T,r,s,r,SI,X,B`,in,NM
Cotinus coggygria,,,,,N,r,s,c,SC,X,A,in,OM
Cotoneaster integerrimus,,,,,N,r,sv,c,SC,AF,B,se,OM
Cotoneaster tomentosus,,,,,N,r,sv,c,SC,,B,in,OM
Crassula aquatica,8.0,7.0,4.0,2.0,T,r,sv,sr,SC,AO,AB,se,NM
Crataegus laevigata,5.0,5.0,7.0,5.0,M,r,s,c,I+,XF,ABDe,se,OM
Crataegus monogyna,6.0,4.0,7.0,4.0,M,r,s,c,I+,XF,ABDe,se,OM
Crepis aurea,,,,,H,g,s,csr,,,B`,ge,OM
Crepis biennis,7.0,5.0,6.0,5.0,H,h,s,cr,,,B`,ge,OM
Crepis capillaris,7.0,4.0,6.0,4.0,H,h,s,csr,SI,X,B`,ge,OM
Crepis foetida,9.0,4.0,6.0,3.0,H,h,s,cr,SI,X,B`,se,OM
Crepis mollis,7.0,5.0,5.0,5.0,H,h,s,csr,,,B`,se,OM
Crepis paludosa,5.0,7.0,6.0,4.0,H,h,s,c,SI,X,B`,ge,FM
Crepis praemorsa,6.0,3.0,8.0,3.0,H,g,sv,csr,,,B`,se,OM
Crepis setosa,9.0,4.0,7.0,3.0,T,h,s,r,,,B`,se,OM
Crepis tectorum,8.0,4.0,6.0,5.0,H,h,s,csr,SC,AFXF,B`,se,FM
Crocus albiflorus,,,,,G,g,sv,csr,SC,AFXF,F,se,OM
Crocus vernus,7.0,5.0,5.0,4.0,G,g,sv,csr,I+,X,F,in,OM
Cruciata laevipes,6.0,5.0,6.0,5.0,C,r,sv,csr,,,A,se,FM
Cryptogramma crispa,7.0,5.0,2.0,2.0,H,g,s,cs,,X,,,FM
Cyclamen purpurascens,,,,,G,g,s,csr,SI,X,Po,se,OM
Cydonia oblonga,,,,,M,r,sv,c,C+,X,AB,se,OM
Cymbalaria muralis,6.0,4.0,7.0,5.0,H,r,sv,csr,SC,AFXF,H,in,OM
Cynodon dactylon,8.0,3.0,6.0,5.0,G,h,vvs,cs,SC,AO,W,se,OM
Cynoglossum officinale,8.0,4.0,7.0,6.0,H,h,s,cs,SC,XF,B,se,OM
Cynosurus cristatus,7.0,5.0,6.0,4.0,H,h,s,csr,SI,X,W,wi,OM
Cynosurus echinatus,,,,,T,h,s,r,,,W,wi,FM
Cyperus esculentus,,,,,G,h,vvs,c,SI,X,W,wi,NM
Cyperus flavescens,,,,,T,h,s,r,SC,XF,W,wi,OM
Cyperus fuscus,9.0,7.0,5.0,4.0,T,h,s,sr,SC,AF,W,se,NM
Cypripedium calceolus,5.0,4.0,8.0,4.0,G,r,vvs,c,SI,X,Dkl,in,FM
Cystopteris fragilis,5.0,6.0,6.0,4.0,H,g,s,cs,,,,,FM
Cystopteris montana,5.0,7.0,9.0,2.0,H,r,s,cs,,,,,NM
Cytisus nigricans,6.0,4.0,6.0,2.0,N,r,s,c,,,H,in,OM
Cytisus scoparius,7.0,4.0,3.0,4.0,N,r,s,c,SI,X,H,se,OM
Dactylis glomerata,7.0,5.0,6.0,6.0,H,h,ssv,c,I+,X,W,wi,FM
Dactylis polygama,5.0,5.0,6.0,5.0,H,h,s,cs,SI,X,W,wi,FM
Dactylorhiza fuchsii,6.0,6.0,5.0,3.0,G,h,s,csr,SC,XF,B,in,OM
Dactylorhiza incarnata,8.0,8.0,6.0,2.0,G,h,s,csr,SC,XF,B,in,OM
Dactylorhiza maculata,7.0,7.0,3.0,2.0,G,h,s,csr,SC,XF,BHh,in,OM
Dactylorhiza majalis,,,,,G,h,s,csr,SC,XF,B,in,OM
Dactylorhiza praetermissa,8.0,8.0,7.0,3.0,G,h,s,csr,SC,XF,B,in,OM
Dactylorhiza sambucina,,,,,G,h,s,csr,SC,XF,BH,in,OM
Danthonia alpina,,,,,H,h,sv,cs,SC,AFXF,W,wi,OM
Danthonia decumbens,7.0,5.0,3.0,2.0,H,h,sv,cs,SC,AF,W,wi,OM
Daphne laureola,4.0,5.0,7.0,5.0,N,r,s,c,SC,XF,F,in,OM
Daphne mezereum,4.0,5.0,7.0,5.0,N,r,s,c,SC,X,B,se,FM
Daphne striata,,,,,S,r,sv,cs,,,F,se,OM
Datura stramonium,8.0,4.0,7.0,8.0,T,r,s,cr,SC,AF,Fn,se,OM
Daucus carota,8.0,4.0,6.0,3.0,H,h,s,cr,SC,XF,A,se,FM
Delphinium elatum,,,,,H,h,sv,c,SI,X,Hh,in,OM
Dentaria bulbifera,,,,,G,r,vvs,csr,SI,X,B,in,NM
Deschampsia cespitosa,6.0,6.0,5.0,3.0,H,h,s,c,I+,X,W,wi,FM
Deschampsia flexuosa,6.0,5.0,2.0,3.0,H,h,sv,cs,I+,X,W,wi,OM
Descurainia sophia,8.0,4.0,7.0,6.0,T,h,s,cr,SC,AO,AB,se,NM
Dianthus barbatus,7.0,5.0,6.0,5.0,C,h,s,,SC,XF,F,in,NM
Dianthus carthusianorum,,,,,H,h,sv,csr,SC,XF,Ft,in,FM
Dianthus caryophyllus,,,,,C,h,s,,SI,X,F,in,NM
Dianthus deltoides,8.0,3.0,3.0,2.0,H,r,s,csr,SC,XF,F,in,NM
Dianthus gratianopolitanus,9.0,2.0,6.0,1.0,C,h,sv,csr,SC,XF,F,in,NM
Dianthus plumarius,,,,,H,h,s,,SC,XF,F,in,NM
Dictamnus albus,,,,,H,r,sv,cs,,,H,in,OM
Digitalis grandiflora,,,,,G,h,sv,c,SI,X,Hh,in,OM
Digitalis lanata,,,,,H,h,s,,SI,X,Hh,in,OM
Digitalis lutea,,,,,H,h,s,c,SI,X,Hh,in,OM
Digitalis purpurea,6.0,5.0,3.0,5.0,H,h,s,cr,SI,X,Hh,in,FM
Digitaria ischaemum,7.0,4.0,2.0,3.0,T,h,s,r,,,W,wi,OM
Digitaria sanguinalis,7.0,3.0,5.0,5.0,T,h,s,r,SC,AF,W,wi,OM
Diphasiastrum alpinum,7.0,5.0,2.0,2.0,C,r,sv,csr,,,,,FM
Diphasiastrum complanatum,5.0,4.0,1.0,2.0,C,r,sv,csr,,,,,NM
Diplotaxis muralis,8.0,4.0,7.0,5.0,T,h,s,csr,SC,AF,AB,se,FM
Dipsacus fullonum,8.0,6.0,7.0,7.0,H,h,s,cr,SC,XF,B`,se,FM
Dorycnium hirsutum,,,,,S,r,s,cs,,,H,in,NM
Draba fladnizensis,,,,,C,h,s,s,SC,AF,AB,se,NM
Draba nemorosa,,,,,T,h,s,r,SC,,AB,se,NM
Draba siliquosa,,,,,C,h,s,s,SC,,AB,se,NM
Dracocephalum ruyschiana,,,,,C,r,sv,csr,SC,XF,Hh,in,OM
Drosera intermedia,8.0,9.0,2.0,1.0,H,h,sv,s,SC,AO,AB,se,FM
Drosera longifolia,8.0,9.0,3.0,2.0,H,h,sv,s,SC,AO,AB,wi,NM
Drosera rotundifolia,8.0,9.0,1.0,1.0,H,h,sv,s,SC,AO,AB,se,FM
Dryas octopetala,8.0,4.0,7.0,2.0,S,r,sv,s,I+,X,B,in,OM
Dryopteris carthusiana,5.0,6.0,4.0,3.0,H,g,sv,cs,,,,,FM
Dryopteris cristata,4.0,9.0,4.0,4.0,H,g,sv,cs,,,,,OM
Dryopteris dilatata,4.0,6.0,4.0,5.0,H,g,sv,cs,,,,,OM
Dryopteris expansa,4.0,6.0,2.0,2.0,H,g,sv,cs,SC,AFXF,,,OM
Dryopteris filix-mas,3.0,5.0,5.0,6.0,H,g,sv,cs,SC,I,,,FM
Duchesnea indica,,,,,H,h,vvs,csr,,,AB,se,OM
Echinochloa crus-galli,6.0,5.0,7.0,8.0,T,h,s,cr,SC,AF,W,wi,FM
Echinocystis lobata,,,,,T,r,s,cr,SC,XF,B,in,OM
Echinops sphaerocephalus,8.0,4.0,7.0,7.0,H,h,s,c,SC,XF,B`,in,OM
Echium vulgare,8.0,4.0,6.0,4.0,H,h,s,cr,SC,XF,H,in,OM
Elaeagnus angustifolia,,,,,M,r,sv,c,SC,AFXF,AB,in,FM
Elaeagnus commutata,,,,,N,r,sv,c,SC,AFXF,AB,se,OM
Elatine hexandra,7.0,10.0,3.0,2.0,T,r,sv,sr,SC,AO,A,se,OM
